,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,4Z1fbYp0HuxLBje4MOZcSD,Twist And Shout - Remastered,The Beatles,['The Beatles'],0.482,0.849,2,-9.198,1,0.641,7.74e-06,0.0414,0.937,124.631,155227,4,77,6,507
1,6Ac4NVYYl2U73QiTt11ZKd,Hooked on a Feeling,Blue Swede,"['Blue Swede', 'Björn Skifs']",0.547,0.82,8,-6.728,1,0.261,0.0,0.3,0.933,118.208,172867,4,85,6,606
2,5dKBaysNJtfpyNTRa5lqDb,A-Punk,Vampire Weekend,['Vampire Weekend'],0.551,0.821,2,-4.489,1,0.0102,0.0438,0.153,0.842,174.923,137760,4,97,7,648
3,2RknY4IqSPwagR0v5wchIW,Don't Stop Me Now,Queen,['Queen'],0.566,0.876,0,-4.6,1,0.0175,0.0114,0.677,0.642,156.291,209447,4,135,9,773
4,4rmPQGwcLQjCoFq5NrTA0D,Uptown Funk (feat. Bruno Mars),Mark Ronson,"['Mark Ronson', 'Bruno Mars']",0.853,0.681,0,-5.003,1,0.00966,5.71e-05,0.0233,0.93,115.004,270627,4,127,9,1181
5,6VwkgtOIlVboseFPCFnyJ2,Video Killed The Radio Star,The Buggles,['The Buggles'],0.679,0.79,1,-6.934,1,0.139,0.00669,0.165,0.369,131.177,251533,4,137,10,883
6,1YrC8s6yZWw23QxW6rfM9f,Come,Jain,['Jain'],0.818,0.783,1,-6.534,1,0.232,0.00886,0.0803,0.819,99.992,162267,4,66,8,698
7,3AszgPDZd9q0DpDFt4HFBy,Hey Ya! - Radio Mix,OutKast,['OutKast'],0.715,0.97,0,-2.206,1,0.0644,0.000156,0.205,0.963,79.504,239240,4,78,7,985
8,55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,['Bruno Mars'],0.874,0.692,5,-5.28,0,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,85,7,691
9,6ZEAXknmx2mrO3KgcDNpFI,Wake Me Up Before You Go-Go,Wham!,['Wham!'],0.586,0.651,0,-10.16,1,0.144,0.0,0.489,0.901,81.397,223067,4,76,10,914
10,1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,['Zara Larsson'],0.694,0.712,7,-3.923,0,0.133,0.0,0.211,0.799,98.022,201122,4,81,11,910
11,6pc8xULSlsMdFB3OrqbvZ4,Celebration - Single Version,Kool & The Gang,['Kool & The Gang'],0.843,0.656,1,-11.184,1,0.0466,0.0187,0.169,0.931,121.112,215653,4,107,10,874
12,0eGsygTp906u18L0Oimnem,Mr. Brightside,The Killers,['The Killers'],0.351,0.928,1,-3.71,1,0.00113,0.0,0.0988,0.239,148.03,222076,4,134,13,537
13,213x4gsFDm04hSqIUkg88w,On Top Of The World,Imagine Dragons,['Imagine Dragons'],0.631,0.924,0,-5.589,1,0.0841,3.59e-06,0.084,0.755,100.045,192280,4,78,8,777
14,05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,['Katrina & The Waves'],0.596,0.869,10,-11.97,1,0.0116,0.173,0.0678,0.944,109.902,238733,4,108,12,1003
15,4vnYwFOZCVl0bmerWyuzRw,Country House,Blur,['Blur'],0.341,0.894,9,-6.66,1,0.147,0.0,0.0741,0.672,174.982,237733,4,171,10,821
16,4ZrbWwFHHjPoe7cfUBJ9WQ,I Got You (I Feel Good),James Brown,['James Brown'],0.598,0.531,7,-7.484,1,0.331,1.51e-06,0.0938,0.696,70.469,168000,3,63,8,561
17,0ifSeVGUr7py5GggttDhXw,All About That Bass,Meghan Trainor,['Meghan Trainor'],0.811,0.879,9,-3.724,1,0.0476,1.91e-06,0.109,0.962,134.064,188754,4,103,10,759
