,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,['Conan Gray'],0.357,0.425,5,-7.301,1,0.584,0.0,0.322,0.27,102.078,198040,3,116,11,612
1,45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,['Tate McRae'],0.642,0.374,4,-9.386,1,0.786,0.0,0.0906,0.0799,124.099,169266,4,84,12,571
2,5kcvBnt6DPX3AMEsCx1qDh,Happiest Year,Jaymes Young,['Jaymes Young'],0.501,0.167,1,-14.061,1,0.885,0.0,0.111,0.356,112.275,228443,3,148,12,582
3,1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,['Harry Styles'],0.567,0.267,4,-6.502,1,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,110,12,693
4,47EWMOElkkbMp5m9SBkx7d,IDK You Yet,Alexander 23,['Alexander 23'],0.629,0.306,1,-11.735,1,0.884,0.0776,0.124,0.191,76.994,184638,1,58,9,586
5,6ZC0G0vb5tr86xeJP766Ok,Drop Dead,Holly Humberstone,['Holly Humberstone'],0.577,0.393,0,-7.322,1,0.586,0.000181,0.0927,0.132,89.858,177162,4,64,8,569
6,4Y5gx8VuShNmakYGlnrUzD,Surrender,Natalie Taylor,['Natalie Taylor'],0.39,0.448,5,-8.57,0,0.8,0.182,0.107,0.077,144.89,183103,5,102,10,466
7,4TRL1Y8sOR54I3AvRzUZHk,we'll be fine,Luz,['Luz'],0.563,0.382,10,-11.138,1,0.748,0.0,0.0714,0.197,120.802,262960,4,130,11,782
8,2zEh9FgszAX9ms1rdOeDX0,The Sun Will Rise,Rhys Lewis,['Rhys Lewis'],0.336,0.167,10,-11.901,1,0.904,0.000312,0.129,0.188,106.351,183227,3,105,10,424
9,6dTBKBqIN4324sThIkZpMj,If The World Was Ending,JP Saxe,"['JP Saxe', 'Julia Michaels']",0.378,0.47,1,-10.095,1,0.863,0.0,0.0954,0.602,75.955,208687,4,79,8,732
10,0kIpJQHzu46yw6q3V78Ypt,Safe Inside - Acoustic,James Arthur,['James Arthur'],0.392,0.303,8,-9.01,1,0.855,4.05e-05,0.112,0.3,109.758,232592,4,94,8,727
11,32zCAMtxlehzVD0YOVzVkz,Arms Around You,Jamie Grey,['Jamie Grey'],0.53,0.271,11,-9.847,1,0.841,0.0,0.103,0.392,101.796,191147,4,79,10,586
12,7wXCmUm9LMYdhhRkHzxt4L,Don't Need Love - Acoustic,220 KID,"['220 KID', 'GRACEY']",0.628,0.303,7,-8.63,0,0.882,0.0,0.101,0.47,114.762,180467,4,85,10,570
13,6TYlDTa9AQDvjqwbxlvFyI,Conversations in the Dark,John Legend,['John Legend'],0.372,0.355,8,-8.436,0,0.754,0.0,0.167,0.142,126.705,237427,4,122,12,741
14,0gySkOOewOdZtHG8stPEB8,Young & Sad,Noah Cyrus,['Noah Cyrus'],0.618,0.428,7,-8.5,0,0.592,0.0,0.192,0.359,142.021,190183,4,107,7,555
15,55Qllj3GpyhKb8Cd2c0lUy,Late Night Therapy,flowerkid,['flowerkid'],0.33,0.309,7,-8.019,1,0.898,0.0,0.0965,0.062,65.004,358145,4,175,16,867
16,39Kwdk4oDypLZ5d2aRAj5W,Is It Just Me?,Emily Burns,['Emily Burns'],0.716,0.316,1,-6.902,0,0.746,0.0,0.104,0.243,73.037,203731,4,59,7,620
17,139rcVdF6LMk1t7Cyex2uo,Learn To Let Go,St. Lundi,['St. Lundi'],0.473,0.309,11,-9.086,1,0.62,0.0,0.152,0.316,135.791,210094,4,115,9,508
18,2ccNaerby1wXA993dY6XsR,if this is the last time,LANY,['LANY'],0.565,0.586,11,-7.726,1,0.0175,0.0,0.204,0.43,147.986,203842,4,125,7,722
19,53bCcVMGv0S2aIYvfju2Tt,Crying Over You,The Band CAMINO,"['The Band CAMINO', 'Chelsea Cutler']",0.463,0.411,11,-8.25,1,0.679,0.0,0.0453,0.163,147.3,178950,4,104,8,518
20,6wQgV6ZYt1snXyQV69mGT4,Body,Jordan Suaste,['Jordan Suaste'],0.452,0.325,4,-8.687,0,0.627,0.0,0.0645,0.33,97.987,205402,4,82,6,686
21,27Y1N4Q4U3EfDU5Ubw8ws2,What They'll Say About Us,FINNEAS,['FINNEAS'],0.518,0.312,7,-13.318,0,0.918,0.000569,0.122,0.103,144.987,186754,4,106,7,479
22,3pg8SqwcnJgHPcnWBY9tVB,Call Me When It's Over,James Smith,['James Smith'],0.482,0.347,6,-9.776,1,0.627,3.69e-05,0.144,0.511,172.732,227801,4,163,10,731
23,3UktGQO4TaIN3Jn7YtJoZr,Wait For Me,Jack Curley,['Jack Curley'],0.73,0.688,10,-7.56,0,0.448,0.0,0.0954,0.694,135.986,221728,4,122,10,874
24,2smg1NNlkCgQNLbqwdn3bv,I'm Not Ok,RHODES,['RHODES'],0.394,0.35,5,-7.751,1,0.517,0.0,0.0738,0.163,125.941,203928,4,90,7,594
25,0Hbn9DrKJiXgoQdVSwBn7B,Fix You - Live,Sam Smith,['Sam Smith'],0.345,0.34,1,-9.337,1,0.805,1.74e-05,0.125,0.302,136.222,257651,4,146,11,721
26,2SSwlNE1JKhLZAjtKjxg6O,Unconditional,Aaron Smith,['Aaron Smith'],0.438,0.309,8,-9.022,0,0.886,1.78e-06,0.21,0.314,137.705,203000,4,113,11,587
27,6pQUQdaZacg722q6sg6fPR,Blame,Grace Carter,"['Grace Carter', 'Jacob Banks']",0.34,0.398,6,-8.156,0,0.781,6.08e-05,0.193,0.197,171.391,251527,3,236,12,804
28,7FRICngbPiyTPEKF7wRC9G,Seven,Claudia Valentina,['Claudia Valentina'],0.801,0.143,7,-10.698,0,0.865,0.0,0.132,0.562,119.891,223827,4,109,10,731
29,01iY9wuMjG4Q5GMCebu27S,My Mistakes,Matthew Nolan,['Matthew Nolan'],0.464,0.268,8,-10.288,1,0.878,0.0,0.0939,0.167,143.755,194167,4,99,7,601
30,3kswR4VNp2z8f8VXUHfTSD,Say Something,Kodaline,['Kodaline'],0.34,0.354,4,-9.079,1,0.0454,0.0,0.167,0.216,103.838,233999,4,92,9,720
31,1zY6ekSJ8VI6tZ6nBqoo7g,I Need You To Hate Me,JC Stewart,['JC Stewart'],0.637,0.589,9,-5.618,0,0.0298,0.0,0.11,0.376,148.925,157447,4,96,9,572
32,6CfAtjogau9v9kmtZVrNG8,If We're Being Honest,Novo Amor,['Novo Amor'],0.498,0.432,3,-7.297,1,0.888,0.617,0.136,0.126,132.928,235053,4,124,11,675
33,5c1gKtJkR8dPjki25BU7Qz,hurt so bad,Cian Ducrot,['Cian Ducrot'],0.461,0.452,2,-6.529,1,0.337,0.0,0.269,0.282,168.074,242489,3,224,11,768
