,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,0HOrDVS349XFcpCYsO2hAP,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,['Bachman-Turner Overdrive'],0.475,0.439,11,-15.039,0,0.000146,0.000277,0.223,0.76,118.392,234867,4,116,10,1041
1,3Cx4yrFaX8CeHwBMReOWXI,We Didn't Start the Fire,Billy Joel,['Billy Joel'],0.712,0.967,7,-5.206,1,0.0771,0.0,0.356,0.895,145.024,287733,4,172,17,1106
2,6NTqBHONQqmud0ONBzsLfZ,(Don't Fear) The Reaper,Blue Öyster Cult,['Blue Öyster Cult'],0.368,0.928,9,-8.369,0,0.00125,0.00111,0.301,0.532,141.175,308440,4,180,8,1100
3,6k9DUKMJpWvu6eFG3O64Lg,Subterranean Homesick Blues,Bob Dylan,['Bob Dylan'],0.576,0.727,4,-9.973,0,0.702,0.0,0.324,0.751,173.854,141293,4,101,6,550
4,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Bob Dylan,['Bob Dylan'],0.483,0.721,0,-6.836,1,0.729,0.0,0.189,0.562,95.261,369600,4,146,14,1243
5,3MHwnlgUI6R1wSamJ60Mi2,"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966",Bob Dylan,['Bob Dylan'],0.289,0.902,2,-8.442,1,0.263,0.00497,0.584,0.335,136.315,223333,4,127,8,727
6,5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Bob Marley & The Wailers,['Bob Marley & The Wailers'],0.916,0.72,0,-8.548,1,0.36,0.00016,0.0958,0.76,103.312,237000,4,100,11,1253
7,1gZOnv0YjmFIM2oXVin9ZR,Ramblin' Gamblin' Man,Bob Seger,['Bob Seger'],0.61,0.864,9,-3.77,1,0.0207,0.0,0.0569,0.875,130.577,145311,4,77,6,447
8,1lhpxZT57yw5toGJtt8fGE,Old Time Rock & Roll,Bob Seger,['Bob Seger'],0.713,0.931,6,-2.965,1,0.219,0.0,0.0694,0.963,124.127,194147,4,99,9,746
9,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,['Boston'],0.377,0.682,7,-8.039,1,0.000894,0.00217,0.0504,0.288,108.736,285133,4,130,11,886
