,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,25CbmECmGaSH438UhwHaw7,Come Together,Franky Wah,['Franky Wah'],0.66,0.896,0,-5.133,1,0.00437,0.000157,0.653,0.242,127.987,193027,4,103,8,781
1,4ef1w42eKAxP1yRltngiOX,Europe Is Lost,Kate Tempest,['Kate Tempest'],0.717,0.559,8,-9.858,0,0.379,0.0259,0.111,0.477,98.833,331227,4,140,13,1675
2,7AvprzMsRJpybaalckaT8c,Man Of The Year,Juice WRLD,['Juice WRLD'],0.621,0.695,4,-5.124,1,0.00584,0.0,0.086,0.298,173.966,136408,4,96,6,493
3,0fUujTuntLla5fesCqQ6d1,mas queso,FLOYD WONDER,['FLOYD WONDER'],0.626,0.895,10,-4.359,0,0.000121,0.0679,0.198,0.6,104.999,138424,4,58,8,676
4,4DIspILFDWAlU7bViTMqhS,Dished (Male Stripper),Purple Disco Machine,['Purple Disco Machine'],0.773,0.932,8,-4.895,1,0.0358,0.901,0.0597,0.391,122.993,253171,4,128,10,1295
5,5JemkdKwXNsNnogI0Mg0ZZ,Sing,Travis,['Travis'],0.33,0.905,4,-5.047,1,0.000233,8.14e-06,0.0712,0.259,163.142,228800,4,155,6,772
6,4VginDwYTP2eaHJzO0QMjG,Circles,Post Malone,['Post Malone'],0.704,0.758,0,-3.537,1,0.233,0.00144,0.0924,0.534,120.003,214907,4,107,7,761
7,0pHYQzbf7xJiSCn79w8Efb,Get Free,Major Lazer,"['Major Lazer', 'Amber of Dirty Projectors']",0.526,0.539,11,-9.456,0,0.121,0.127,0.121,0.797,176.081,289694,4,210,13,1211
8,4CAcKvnP3kcBP859sLSHKH,Mojito Et Cigare Cubain,Degiheugi,['Degiheugi'],0.652,0.833,4,-9.349,0,0.0191,0.953,0.0929,0.505,91.999,240761,4,90,16,1185
9,0zOIj9MammKS0Q47sNMvzw,Severed,The Decemberists,['The Decemberists'],0.602,0.792,4,-7.015,0,0.00228,0.0181,0.126,0.349,136.055,243800,4,135,13,842
10,2YQ1cc9xWnp5qI08rKt6wv,The Isle Of Arran,Loyle Carner,['Loyle Carner'],0.616,0.881,2,-5.315,0,0.516,0.0,0.14,0.711,90.387,214427,4,80,10,876
11,1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,['Dominic Fike'],0.815,0.518,7,-6.594,0,0.223,0.0,0.104,0.877,151.891,177667,4,112,10,780
12,3xJMfoI7ApSNE2XYEsJ9z9,Ready For You (feat. Celeste),Black Coffee,"['Black Coffee', 'Celeste']",0.648,0.672,5,-9.322,1,0.232,0.113,0.1,0.178,99.992,268886,4,110,11,1222
13,2oVMXhttDnQkUWylITN4Br,Oh Yeah,A. G. Cook,['A. G. Cook'],0.425,0.477,10,-8.768,1,0.667,9.28e-06,0.349,0.345,171.535,212200,4,151,10,637
14,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,['The Weeknd'],0.514,0.73,1,-5.934,1,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,141,7,770
15,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685,"['Jawsh 685', 'Jason Derulo']",0.767,0.481,0,-8.52,0,0.234,0.0,0.269,0.761,150.076,171375,4,104,6,655
16,18AJRdgUoO9EYn11N7xzaT,Habits (Stay High),Tove Lo,['Tove Lo'],0.733,0.65,5,-3.539,1,0.0703,6.59e-05,0.0829,0.348,110.003,209160,4,93,9,702
17,1SbqxemPdwGlvmirtQVkCU,Summit (feat. Ellie Goulding),Skrillex,"['Skrillex', 'Ellie Goulding']",0.692,0.773,6,-3.739,1,0.226,0.0104,0.108,0.486,139.989,373987,4,214,17,1461
