,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,6HqobDaKcIiv7iRierChsK,Sommerkroppen,Mads Hansen,['Mads Hansen'],0.751,0.624,0,-6.231,1,0.191,0.0,0.382,0.747,179.853,159447,4,118,8,632
1,6gMBSqw3HOWA2YuJXlzb7o,L'Aventurier,The Kingpins,['The Kingpins'],0.599,0.738,10,-12.845,0,0.0385,0.0106,0.173,0.712,173.896,176733,4,124,5,912
2,1wgqttlPacpvmX5DKVboOa,Paper Planes,M.I.A.,['M.I.A.'],0.447,0.848,2,-6.175,1,0.033,7.45e-05,0.65,0.485,172.247,205200,4,144,10,947
3,11h7nddy8h0GLxMDnwnvNb,The Priest,TORREK,['TORREK'],0.516,0.853,9,-9.676,1,0.84,0.857,0.0554,0.176,130.003,242453,4,128,9,1025
4,76SrVBQWGKb6df3cfBMrjX,Travellin',Hudson Taylor,['Hudson Taylor'],0.566,0.618,2,-4.776,1,0.0603,0.00208,0.0961,0.622,92.246,202133,4,75,9,696
5,67Hna13dNDkZvBpTXRIaOJ,Teardrop,Massive Attack,['Massive Attack'],0.615,0.419,11,-8.8,0,0.0173,0.497,0.135,0.216,76.997,330773,4,104,7,1245
6,7mptueK99zxqmgIdT3SaWF,Spirit Bird,Xavier Rudd,['Xavier Rudd'],0.392,0.315,0,-10.371,1,0.488,0.0,0.127,0.253,126.243,429236,4,221,15,1321
7,6EBMCig7GscLSCTFXiYdVa,10 Jahre,EMMA6,['EMMA6'],0.571,0.867,4,-6.062,0,0.026,9.9e-06,0.211,0.768,107.975,216708,4,93,7,740
8,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,['Coldplay'],0.49,0.743,0,-5.155,0,0.255,7.21e-06,0.3,0.363,89.974,258827,4,96,10,913
9,73FVL99giEPEaiekF3wK5S,Solringen,Wardruna,['Wardruna'],0.369,0.397,0,-13.904,0,0.424,0.625,0.302,0.0723,124.805,390373,4,208,16,1550
10,0Eskt9x1wNhxjFI4ue67Z2,Come with Me Now,KONGOS,['KONGOS'],0.654,0.726,10,-3.803,0,0.0311,6.35e-05,0.0618,0.728,103.987,211960,4,89,12,705
11,5Bxx1JvzUJ7bFge08EgLbI,Daniel's Joik,Jon Henrik Fjällgren,['Jon Henrik Fjällgren'],0.366,0.159,1,-13.17,1,0.966,0.479,0.114,0.124,145.983,391813,4,232,16,1007
12,4RYtaqxjDJUOY2GrtkLTFf,Harmaa Rinne,Teflon Brothers,['Teflon Brothers'],0.861,0.71,6,-5.862,0,0.041,0.0,0.15,0.962,129.933,170886,4,89,9,759
13,5MbDEe6OHY5vhdpOnLUF9P,Pidä pää ylhääl (feat. Reeta),Roope Salminen & Koirat,"['Roope Salminen & Koirat', 'Reeta']",0.655,0.655,11,-4.94,0,0.179,0.0,0.304,0.587,78.036,229754,4,74,10,798
14,1DohFoARZHxECacSWRYyjT,Fortune Teller,Xavier Rudd,['Xavier Rudd'],0.6,0.608,11,-9.378,0,0.521,0.454,0.628,0.571,122.175,207093,4,105,9,898
15,1nGorpOziZH0NFi4PnZX5K,Forgotten Promises,Sami Yusuf,['Sami Yusuf'],0.717,0.443,9,-7.892,0,0.592,0.0,0.0994,0.542,115.026,255627,4,122,14,782
